8004,998,0,0,0,0	8004,998,0,0,0,0
-1,176.0,141.0,211.0,264.0,031365.94	-1,176.0,141.0,211.0,264.0,031365.94
+2,161.0,105.0,182.0,262.0,031367.253	+2,161.0,105.0,182.0,262.0,031367.253
7000,0,0,0,0,031367.402	7000,0,0,0,0,031367.402
-1,85.0,185.0,170.0,189.0,031370.659	-1,85.0,185.0,170.0,189.0,031370.659
-1,98.0,196.0,251.0,199.0,031372.282	-1,98.0,196.0,251.0,199.0,031372.282
+1,270.0,170.0,54.0,214.0,031372.868	+1,270.0,170.0,54.0,214.0,031372.868
+1,250.0,169.0,38.0,194.0,031374.092	+1,250.0,169.0,38.0,194.0,031374.092
+1,258.0,156.0,64.0,205.0,031375.459	+1,258.0,156.0,64.0,205.0,031375.459
0,108.0,238.0,108.0,238.0,031376.554	0,108.0,238.0,108.0,238.0,031376.554
7015,0,0,0,0,031376.591	7015,0,0,0,0,031376.591
+1,266.0,158.0,30.0,193.0,031379.102	+1,266.0,158.0,30.0,193.0,031379.102
+1,257.0,152.0,58.0,155.0,031380.713	+1,257.0,152.0,58.0,155.0,031380.713
-1,106.0,168.0,189.86125,173.30768,031382.084	-1,106.0,168.0,189.86125,173.30768,031382.084
8004,999,0,0,0,0	8004,999,0,0,0,0
+2,148.0,118.0,188.0919,324.1064,031390.769	+2,148.0,118.0,188.0919,324.1064,031390.769
7000,0,0,0,0,031390.857	7000,0,0,0,0,031390.857
8005,998,0,0,0,0	8005,998,0,0,0,0
+1,271.0,147.0,56.0,173.0,031395.386	+1,271.0,147.0,56.0,173.0,031395.386
+1,265.0,158.0,58.0,152.0,031396.717	+1,265.0,158.0,58.0,152.0,031396.717
-1,104.0,173.0,307.0,165.0,031397.433	-1,104.0,173.0,307.0,165.0,031397.433
-1,145.0,164.0,298.0,190.0,031398.013	-1,145.0,164.0,298.0,190.0,031398.013
-1,125.0,164.0,251.0,152.0,031398.657	-1,125.0,164.0,251.0,152.0,031398.657
-1,124.0,168.0,323.63577,184.34448,031399.966	-1,124.0,168.0,323.63577,184.34448,031399.966
-1,137.0,183.0,289.0,193.0,031401.25	-1,137.0,183.0,289.0,193.0,031401.25
0,149.0,227.0,149.0,227.0,031402.968	0,149.0,227.0,149.0,227.0,031402.968
0,108.0,225.0,108.0,225.0,031405.6	0,108.0,225.0,108.0,225.0,031405.6
7003,0,0,0,0,031405.643	7003,0,0,0,0,031405.643
+2,171.0,118.0,222.66853,298.8489,031407.294	+2,171.0,118.0,222.66853,298.8489,031407.294
7000,0,0,0,0,031407.403	7000,0,0,0,0,031407.403
0,98.0,130.0,98.0,130.0,031409.437	0,98.0,130.0,98.0,130.0,031409.437
7001,0,0,0,0,031409.6	7001,0,0,0,0,031409.6
-1,83.0,174.0,296.0,176.0,031418.991	-1,83.0,174.0,296.0,176.0,031418.991
+1,255.0,152.0,32.83499,176.00052,031419.789	+1,255.0,152.0,32.83499,176.00052,031419.789
+1,254.0,188.0,78.0,177.0,031422.667	+1,254.0,188.0,78.0,177.0,031422.667
0,142.0,213.0,142.0,213.0,031454.655	0,142.0,213.0,142.0,213.0,031454.655
